Date,UK_CPI,USA_CPI,CPI_diff
1/1/2012,3.16,2.93,0.23
2/1/2012,3.14,2.87,0.27
3/1/2012,3.02,2.65,0.37
4/1/2012,2.79,2.30,0.48
5/1/2012,2.57,1.70,0.86
6/1/2012,2.25,1.66,0.58
7/1/2012,2.35,1.41,0.94
8/1/2012,2.34,1.69,0.65
9/1/2012,2.01,1.99,0.02
10/1/2012,2.43,2.16,0.27
11/1/2012,2.43,1.76,0.66
12/1/2012,2.42,1.74,0.68
1/1/2013,2.43,1.59,0.83
2/1/2013,2.42,1.98,0.44
3/1/2013,2.52,1.47,1.04
4/1/2013,2.19,1.06,1.13
5/1/2013,2.40,1.36,1.04
6/1/2013,2.51,1.75,0.76
7/1/2013,2.40,1.96,0.44
8/1/2013,2.39,1.52,0.87
9/1/2013,2.39,1.18,1.20
10/1/2013,2.07,0.96,1.10
11/1/2013,1.86,1.24,0.62
12/1/2013,1.95,1.50,0.45
1/1/2014,1.75,1.58,0.17
2/1/2014,1.64,1.13,0.51
3/1/2014,1.53,1.51,0.02
4/1/2014,1.63,1.95,-0.32
5/1/2014,1.43,2.13,-0.70
6/1/2014,1.84,2.07,-0.24
7/1/2014,1.63,1.99,-0.36
8/1/2014,1.52,1.70,-0.18
9/1/2014,1.32,1.66,-0.34
10/1/2014,1.32,1.66,-0.35
11/1/2014,1.11,1.32,-0.21
12/1/2014,0.71,0.76,-0.05
1/1/2015,0.51,-0.09,0.60
2/1/2015,0.40,-0.03,0.43
3/1/2015,0.30,-0.07,0.38
4/1/2015,0.30,-0.20,0.50
5/1/2015,0.50,-0.04,0.54
6/1/2015,0.30,0.12,0.18
7/1/2015,0.40,0.17,0.23
8/1/2015,0.40,0.20,0.21
9/1/2015,0.20,-0.04,0.24
10/1/2015,0.20,0.17,0.03
11/1/2015,0.40,0.50,-0.10
12/1/2015,0.50,0.73,-0.23
1/1/2016,0.71,1.37,-0.67
2/1/2016,0.60,1.02,-0.41
3/1/2016,0.80,0.85,-0.05
4/1/2016,0.70,1.13,-0.42
5/1/2016,0.70,1.02,-0.32
6/1/2016,0.90,1.00,-0.10
7/1/2016,0.90,0.83,0.07
8/1/2016,0.90,1.06,-0.17
9/1/2016,1.30,1.46,-0.17
10/1/2016,1.30,1.64,-0.34
11/1/2016,1.50,1.69,-0.20
12/1/2016,1.79,2.07,-0.28
1/1/2017,1.90,2.50,-0.60
2/1/2017,2.30,2.74,-0.44
3/1/2017,2.29,2.38,-0.09
4/1/2017,2.58,2.20,0.38
5/1/2017,2.68,1.87,0.80
6/1/2017,2.48,1.63,0.84
7/1/2017,2.58,1.73,0.85
8/1/2017,2.77,1.94,0.83
9/1/2017,2.76,2.23,0.53
10/1/2017,2.76,2.04,0.71
11/1/2017,2.85,2.20,0.65
12/1/2017,2.74,2.11,0.63
1/1/2018,2.65,2.07,0.58
2/1/2018,2.44,2.21,0.23
3/1/2018,2.34,2.36,-0.02
4/1/2018,2.23,2.46,-0.23
5/1/2018,2.32,2.80,-0.48
6/1/2018,2.32,2.87,-0.55
7/1/2018,2.32,2.95,-0.63
8/1/2018,2.40,2.70,-0.30
9/1/2018,2.21,2.28,-0.07
10/1/2018,2.20,2.52,-0.32
11/1/2018,2.10,2.18,-0.08
12/1/2018,2.00,1.91,0.09
1/1/2019,1.82,1.55,0.27
2/1/2019,1.81,1.52,0.29
3/1/2019,1.81,1.86,-0.05
4/1/2019,1.99,2.00,-0.01
5/1/2019,1.89,1.79,0.10
6/1/2019,1.89,1.65,0.24
7/1/2019,1.98,1.81,0.17
8/1/2019,1.69,1.75,-0.06
9/1/2019,1.69,1.71,-0.02
10/1/2019,1.50,1.76,-0.26
11/1/2019,1.50,2.05,-0.55
12/1/2019,1.31,2.29,-0.98
1/1/2020,1.79,2.49,-0.70
2/1/2020,1.69,2.33,-0.65
3/1/2020,1.50,1.54,-0.04
4/1/2020,0.93,0.33,0.60
5/1/2020,0.65,0.12,0.53
6/1/2020,0.83,0.65,0.19
7/1/2020,1.11,0.99,0.13
8/1/2020,0.46,1.31,-0.85
9/1/2020,0.74,1.37,-0.63
10/1/2020,0.83,1.18,-0.35
11/1/2020,0.55,1.17,-0.62
12/1/2020,0.83,1.36,-0.53
1/1/2021,0.92,1.40,-0.48
2/1/2021,0.74,1.68,-0.94
3/1/2021,1.01,2.62,-1.61
4/1/2021,1.66,4.16,-2.50
5/1/2021,2.21,4.99,-2.78
6/1/2021,2.39,5.39,-3.00
7/1/2021,2.01,5.37,-3.35
8/1/2021,3.03,5.25,-2.22
9/1/2021,2.93,5.39,-2.46
10/1/2021,3.85,6.22,-2.38
11/1/2021,4.58,6.81,-2.23
12/1/2021,4.84,7.04,-2.19
1/1/2022,1.76,3.02,-1.26
2/1/2022,1.77,3.08,-1.32
3/1/2022,1.81,3.21,-1.40
4/1/2022,1.86,3.35,-1.49
5/1/2022,1.90,3.47,-1.57
6/1/2022,1.94,3.58,-1.64
7/1/2022,2.01,3.69,-1.68
8/1/2022,2.07,3.79,-1.73
9/1/2022,2.12,3.91,-1.79
10/1/2022,2.19,4.04,-1.84
11/1/2022,2.25,4.16,-1.90
12/1/2022,2.31,4.28,-1.97
,,,
,,,
,,,
,,,
